Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,Diff,Prop,binary_pref
brookes-babylab,central fixation,MB_142,brookes-babylab:MB_142,English,300,1,15,English,FALSE,1.5659451425786215,1.7233876622421125,0.157442519663491,0.5239322879449517,IDS_preference
brookes-babylab,central fixation,MB_142,brookes-babylab:MB_142,English,307,2,13,English,FALSE,1.6481765933679091,1.9691334019322249,0.32095680856431574,0.5443640175961316,IDS_preference
brookes-babylab,central fixation,MB_143,brookes-babylab:MB_143,English,287,1,16,English,FALSE,1.871638670595234,2.1767376788054054,0.30509900821017144,0.5376816508494006,IDS_preference
brookes-babylab,central fixation,MB_143,brookes-babylab:MB_143,English,297,2,14,English,FALSE,1.5622540673793106,1.820196481274786,0.25794241389547534,0.538129517369901,IDS_preference
brookes-babylab,central fixation,MB_144,brookes-babylab:MB_144,English,216,1,16,English,FALSE,2.1725502317076018,2.3084009454843106,0.13585071377670888,0.5151586915818444,IDS_preference
brookes-babylab,central fixation,MB_144,brookes-babylab:MB_144,English,224,2,15,English,FALSE,2.4464360734389543,2.571364086624597,0.1249280131856425,0.51244848431589,IDS_preference
brookes-babylab,central fixation,MB_36,brookes-babylab:MB_36,English,217,1,15,English,FALSE,1.3147997008443284,1.759701431231719,0.44490173038739056,0.5723534829351277,IDS_preference
brookes-babylab,central fixation,MB_36,brookes-babylab:MB_36,English,229,2,14,English,FALSE,1.180515556585194,1.9318811267231228,0.7513655701379289,0.6207053031137513,IDS_preference
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,228,1,16,English,FALSE,1.8097956840105929,2.249298696399034,0.43950301238844114,0.5541380627301511,IDS_preference
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,235,2,16,English,FALSE,1.562920778430566,2.269966724394867,0.7070459459643008,0.5922341114164058,IDS_preference
brookes-babylab,central fixation,MB_48,brookes-babylab:MB_48,English,269,1,16,English,FALSE,2.11750049806192,2.1454026878617443,0.027902189799824395,0.5032726745814871,IDS_preference
brookes-babylab,central fixation,MB_48,brookes-babylab:MB_48,English,278,2,14,English,FALSE,1.4230272362771443,1.819807128853816,0.3967798925766717,0.5611779461885418,IDS_preference
brookes-babylab,central fixation,MB_50,brookes-babylab:MB_50,English,255,1,16,English,FALSE,1.5012147742358155,1.735472820252561,0.2342580460167456,0.5361879296623582,IDS_preference
brookes-babylab,central fixation,MB_50,brookes-babylab:MB_50,English,262,2,15,English,FALSE,1.3085853201614115,2.3279386241596205,1.019353303998209,0.6401549006146487,IDS_preference
brookes-babylab,central fixation,MB_63,brookes-babylab:MB_63,English,174,1,15,English,FALSE,1.4753063599506866,2.104523528947851,0.6292171689971646,0.5878836688509192,IDS_preference
brookes-babylab,central fixation,MB_63,brookes-babylab:MB_63,English,182,2,16,English,FALSE,1.2929020127013162,1.8648349183275157,0.5719329056261995,0.5905605688691515,IDS_preference
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,270,1,16,English,FALSE,1.6539076049705281,1.7881241684382991,0.134216563467771,0.5194967060595796,IDS_preference
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,282,2,16,English,FALSE,1.796122601547576,2.2391457428653547,0.44302314131777876,0.5548938885230732,IDS_preference
brookes-babylab,central fixation,MB_88,brookes-babylab:MB_88,English,259,1,15,English,FALSE,1.5587679215596855,1.4589332327615048,-0.09983468879818069,0.48345848649472417,ADS_preference
