Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
babyling-oslo,Eyetracking,OS_004,babyling-oslo:OS_004,Norwegian,ADS,275,1,15,1.7132284186618734,6.38425,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_004,babyling-oslo:OS_004,Norwegian,ADS,297,2,3,0.7537468882608676,2.125,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_004,babyling-oslo:OS_004,Norwegian,IDS,275,1,15,1.6337140165432518,5.9951428571428576,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_004,babyling-oslo:OS_004,Norwegian,IDS,297,2,3,1.3058974240478616,3.691,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_005,babyling-oslo:OS_005,Norwegian,ADS,213,1,5,1.3573803509552484,3.886,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_005,babyling-oslo:OS_005,Norwegian,ADS,234,2,7,0.8923372147524123,2.4429999999999996,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_005,babyling-oslo:OS_005,Norwegian,IDS,213,1,5,1.7278663450443745,6.20175,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_005,babyling-oslo:OS_005,Norwegian,IDS,234,2,7,1.2116678277223578,3.5324,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_006,babyling-oslo:OS_006,Norwegian,ADS,275,1,7,0.8974467477989366,2.4843333333333333,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_006,babyling-oslo:OS_006,Norwegian,IDS,275,1,7,1.026717395497437,2.8489999999999998,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_009,babyling-oslo:OS_009,Norwegian,ADS,260,1,10,1.6621342768826461,5.9736666666666665,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_009,babyling-oslo:OS_009,Norwegian,ADS,281,2,11,1.4289241579208014,5.183,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_009,babyling-oslo:OS_009,Norwegian,IDS,260,1,10,1.6442522639759243,6.34925,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_009,babyling-oslo:OS_009,Norwegian,IDS,281,2,11,1.5269780026324995,5.445,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_018,babyling-oslo:OS_018,Norwegian,ADS,243,1,15,1.9332518825457636,7.345285714285714,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_018,babyling-oslo:OS_018,Norwegian,ADS,255,2,5,1.05677073683842,2.99,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_018,babyling-oslo:OS_018,Norwegian,IDS,243,1,15,2.113829469908099,8.971875,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_018,babyling-oslo:OS_018,Norwegian,IDS,255,2,5,1.4122682193914926,5.124,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_026,babyling-oslo:OS_026,Norwegian,ADS,268,1,7,1.0563500943374877,2.8906,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_026,babyling-oslo:OS_026,Norwegian,ADS,282,2,16,1.4039536000738075,4.5525,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_026,babyling-oslo:OS_026,Norwegian,IDS,268,1,7,1.1405475133866414,3.129,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_026,babyling-oslo:OS_026,Norwegian,IDS,282,2,16,1.4472677012884656,4.81775,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_029,babyling-oslo:OS_029,Norwegian,ADS,267,1,5,1.8473518426517601,6.343,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_029,babyling-oslo:OS_029,Norwegian,IDS,267,1,5,1.843550856935567,6.833,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_031,babyling-oslo:OS_031,Norwegian,ADS,249,1,14,1.3662515021161015,4.210833333333333,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_031,babyling-oslo:OS_031,Norwegian,ADS,253,2,10,1.482132978268642,4.64325,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_031,babyling-oslo:OS_031,Norwegian,IDS,249,1,14,1.6139708222687534,5.982625,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_031,babyling-oslo:OS_031,Norwegian,IDS,253,2,10,1.4194305821288633,4.653833333333333,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_032,babyling-oslo:OS_032,Norwegian,ADS,245,1,15,1.8857477855777882,6.667428571428571,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_032,babyling-oslo:OS_032,Norwegian,ADS,256,2,14,1.469790532297361,4.4245,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_032,babyling-oslo:OS_032,Norwegian,IDS,245,1,15,1.677683843067611,5.74575,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_032,babyling-oslo:OS_032,Norwegian,IDS,256,2,14,1.644492587367847,6.01475,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_042,babyling-oslo:OS_042,Norwegian,ADS,184,1,11,1.7596534169850422,6.62275,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_042,babyling-oslo:OS_042,Norwegian,ADS,203,2,10,1.5379050488390564,4.875333333333334,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_042,babyling-oslo:OS_042,Norwegian,IDS,184,1,11,1.5741824528306723,5.231285714285715,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_042,babyling-oslo:OS_042,Norwegian,IDS,203,2,10,1.3163298003200563,4.091,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_051,babyling-oslo:OS_051,Norwegian,ADS,212,1,3,0.8051356825079926,2.237,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_051,babyling-oslo:OS_051,Norwegian,IDS,212,1,3,0.9400293832460996,2.5965,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_052,babyling-oslo:OS_052,Norwegian,ADS,216,1,8,1.4160549936730629,4.730333333333333,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_052,babyling-oslo:OS_052,Norwegian,ADS,229,2,11,1.9716533516191053,8.0642,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_052,babyling-oslo:OS_052,Norwegian,IDS,216,1,8,1.4805248432034612,4.5324,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_052,babyling-oslo:OS_052,Norwegian,IDS,229,2,11,1.5641426933102864,5.4254999999999995,0.5,Norwegian,FALSE
brookes-babylab,central fixation,MB_103,brookes-babylab:MB_103,English,ADS,368,1,16,1.689989884461614,7.62125,-0.5,English,FALSE
brookes-babylab,central fixation,MB_103,brookes-babylab:MB_103,English,ADS,375,2,12,0.8760501552815755,2.4175,-0.5,English,FALSE
brookes-babylab,central fixation,MB_103,brookes-babylab:MB_103,English,IDS,368,1,16,1.550017788209279,5.365,0.5,English,FALSE
brookes-babylab,central fixation,MB_103,brookes-babylab:MB_103,English,IDS,375,2,12,1.918308665812908,8.0725,0.5,English,FALSE
brookes-babylab,central fixation,MB_135,brookes-babylab:MB_135,English,ADS,303,1,15,1.284647885351367,4.15875,-0.5,English,FALSE
brookes-babylab,central fixation,MB_135,brookes-babylab:MB_135,English,ADS,317,2,11,1.708450198435169,6.198333333333333,-0.5,English,FALSE
brookes-babylab,central fixation,MB_135,brookes-babylab:MB_135,English,IDS,303,1,15,2.0015300860203955,8.037142857142857,0.5,English,FALSE
brookes-babylab,central fixation,MB_135,brookes-babylab:MB_135,English,IDS,317,2,11,1.7024604983680758,5.756,0.5,English,FALSE
brookes-babylab,central fixation,MB_136,brookes-babylab:MB_136,English,ADS,295,1,16,1.5651419038100134,5.43625,-0.5,English,FALSE
brookes-babylab,central fixation,MB_136,brookes-babylab:MB_136,English,ADS,302,2,15,1.1797242724686783,3.367142857142857,-0.5,English,FALSE
brookes-babylab,central fixation,MB_136,brookes-babylab:MB_136,English,IDS,295,1,16,2.174140272358806,9.55875,0.5,English,FALSE
brookes-babylab,central fixation,MB_136,brookes-babylab:MB_136,English,IDS,302,2,15,1.8217815956591057,6.76375,0.5,English,FALSE
brookes-babylab,central fixation,MB_137,brookes-babylab:MB_137,English,ADS,252,1,16,1.669200050595933,5.86875,-0.5,English,FALSE
brookes-babylab,central fixation,MB_137,brookes-babylab:MB_137,English,ADS,262,2,15,1.4479240159992226,4.7,-0.5,English,FALSE
brookes-babylab,central fixation,MB_137,brookes-babylab:MB_137,English,IDS,252,1,16,2.027888527732701,8.375,0.5,English,FALSE
brookes-babylab,central fixation,MB_137,brookes-babylab:MB_137,English,IDS,262,2,15,2.1716526301537513,9.58375,0.5,English,FALSE
brookes-babylab,central fixation,MB_138,brookes-babylab:MB_138,English,ADS,240,1,15,1.2642788005900958,3.6685714285714286,-0.5,English,FALSE
brookes-babylab,central fixation,MB_138,brookes-babylab:MB_138,English,ADS,247,2,16,1.7507430730204003,6.35375,-0.5,English,FALSE
brookes-babylab,central fixation,MB_138,brookes-babylab:MB_138,English,IDS,240,1,15,2.0544288272167,9.43,0.5,English,FALSE
brookes-babylab,central fixation,MB_138,brookes-babylab:MB_138,English,IDS,247,2,16,2.48004248877366,12.66375,0.5,English,FALSE
brookes-babylab,central fixation,MB_139,brookes-babylab:MB_139,English,ADS,278,1,14,1.8079371794819623,6.645714285714286,-0.5,English,FALSE
brookes-babylab,central fixation,MB_139,brookes-babylab:MB_139,English,ADS,284,2,16,1.8446797211913528,7.0062500000000005,-0.5,English,FALSE
brookes-babylab,central fixation,MB_139,brookes-babylab:MB_139,English,IDS,278,1,14,2.1112634795080103,10.098571428571429,0.5,English,FALSE
brookes-babylab,central fixation,MB_139,brookes-babylab:MB_139,English,IDS,284,2,16,2.3186603513566935,10.748750000000001,0.5,English,FALSE
brookes-babylab,central fixation,MB_140,brookes-babylab:MB_140,English,ADS,253,1,15,1.3335010665474645,4.147142857142857,-0.5,English,FALSE
brookes-babylab,central fixation,MB_140,brookes-babylab:MB_140,English,ADS,261,2,16,1.531153559862088,5.65125,-0.5,English,FALSE
brookes-babylab,central fixation,MB_140,brookes-babylab:MB_140,English,IDS,253,1,15,2.064962667229893,10.213750000000001,0.5,English,FALSE
brookes-babylab,central fixation,MB_140,brookes-babylab:MB_140,English,IDS,261,2,16,1.9031524762734866,8.22625,0.5,English,FALSE
brookes-babylab,central fixation,MB_141,brookes-babylab:MB_141,English,ADS,260,1,15,1.7593705609898818,6.5600000000000005,-0.5,English,FALSE
brookes-babylab,central fixation,MB_141,brookes-babylab:MB_141,English,ADS,270,2,16,1.9131873444268914,8.91375,-0.5,English,FALSE
brookes-babylab,central fixation,MB_141,brookes-babylab:MB_141,English,IDS,260,1,15,2.2153548679862354,10.354285714285714,0.5,English,FALSE
brookes-babylab,central fixation,MB_141,brookes-babylab:MB_141,English,IDS,270,2,16,1.9149009045709382,7.4325,0.5,English,FALSE
brookes-babylab,central fixation,MB_142,brookes-babylab:MB_142,English,ADS,300,1,15,1.5659451425786215,5.6,-0.5,English,FALSE
brookes-babylab,central fixation,MB_142,brookes-babylab:MB_142,English,ADS,307,2,13,1.6481765933679091,5.486,-0.5,English,FALSE
brookes-babylab,central fixation,MB_142,brookes-babylab:MB_142,English,IDS,300,1,15,1.7233876622421125,5.965714285714285,0.5,English,FALSE
brookes-babylab,central fixation,MB_142,brookes-babylab:MB_142,English,IDS,307,2,13,1.9691334019322249,8.6175,0.5,English,FALSE
brookes-babylab,central fixation,MB_143,brookes-babylab:MB_143,English,ADS,287,1,16,1.871638670595234,6.955,-0.5,English,FALSE
brookes-babylab,central fixation,MB_143,brookes-babylab:MB_143,English,ADS,297,2,14,1.5622540673793106,6.268571428571429,-0.5,English,FALSE
brookes-babylab,central fixation,MB_143,brookes-babylab:MB_143,English,IDS,287,1,16,2.1767376788054054,10.17375,0.5,English,FALSE
brookes-babylab,central fixation,MB_143,brookes-babylab:MB_143,English,IDS,297,2,14,1.820196481274786,7.711428571428571,0.5,English,FALSE
