Subject,Subject_Unique,Age,Gender,Method,preterm,Session,Condition,stimulus,trial_num,LT,trial_error,session_error,session_error_type,Language,Lab,days_between_sessions
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,IDS,IDS3,6,14.006,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,IDS,IDS4,7,3.909,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,ADS,ADS4,8,1.987,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,ADS,ADS5,9,8.453,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,IDS,IDS5,10,3.75,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,ADS,ADS6,11,2.932,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,IDS,IDS6,12,4.258,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,IDS,IDS7,13,2.417,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,ADS,ADS7,14,7.468,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,ADS,ADS8,15,5.015,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,IDS,IDS8,16,14.681,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,training,train1,-2,6.131,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,training,train2,-1,3.149,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,IDS,IDS1,1,13.782,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,ADS,ADS1,2,3.232,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,IDS,IDS2,3,2.975,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,ADS,ADS2,4,10.584,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,ADS,ADS3,5,2.641,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,IDS,IDS3,6,6.437,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,IDS,IDS4,7,2.304,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,ADS,ADS4,8,12.327,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,ADS,ADS5,9,10.076,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,IDS,IDS5,10,2.523,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,ADS,ADS6,11,2.161,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,IDS,IDS6,12,1.934,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,223,F,HPP,term,2,IDS,IDS7,13,2.873,noerror,noerror,NA,German,babylab-potsdam,7
