Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,N_below_threshold_lt,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
lancslab,Eyetracking,P10,lancslab:P10,English,IDS,236,2,16,0,2.4787904125162616,12.254875,0.5,English,FALSE
lancslab,Eyetracking,P11,lancslab:P11,English,ADS,235,1,16,0,2.103273370984151,8.97175,-0.5,English,FALSE
lancslab,Eyetracking,P11,lancslab:P11,English,ADS,242,2,16,0,2.6271029275295437,14.177624999999999,-0.5,English,FALSE
lancslab,Eyetracking,P11,lancslab:P11,English,IDS,235,1,16,0,2.4604688921813063,12.016875,0.5,English,FALSE
lancslab,Eyetracking,P11,lancslab:P11,English,IDS,242,2,16,0,2.715973013311374,15.21925,0.5,English,FALSE
lancslab,Eyetracking,P13,lancslab:P13,English,ADS,237,2,16,0,1.8244193542085516,6.551375,-0.5,English,FALSE
lancslab,Eyetracking,P13,lancslab:P13,English,IDS,237,2,16,0,1.5391024976135141,5.1425,0.5,English,FALSE
wsi-goettingen,HPP,M502,wsi-goettingen:M502,German,ADS,267,2,16,0,1.5107693142638394,5.2385,-0.5,German,FALSE
wsi-goettingen,HPP,M502,wsi-goettingen:M502,German,IDS,267,2,16,0,1.5088670574804122,5.39675,0.5,German,FALSE
wsi-goettingen,HPP,M504,wsi-goettingen:M504,German,ADS,228,1,16,0,2.4523808965874485,12.77725,-0.5,German,FALSE
wsi-goettingen,HPP,M504,wsi-goettingen:M504,German,ADS,235,2,16,0,2.007279540387162,9.40775,-0.5,German,FALSE
wsi-goettingen,HPP,M504,wsi-goettingen:M504,German,IDS,228,1,16,0,2.5284017410196444,13.215499999999999,0.5,German,FALSE
wsi-goettingen,HPP,M504,wsi-goettingen:M504,German,IDS,235,2,16,0,2.1086736065758425,9.79475,0.5,German,FALSE
wsi-goettingen,HPP,M505,wsi-goettingen:M505,German,ADS,266,1,16,0,2.3164319576293906,10.603,-0.5,German,FALSE
wsi-goettingen,HPP,M505,wsi-goettingen:M505,German,IDS,266,1,16,0,2.543495695379745,13.856,0.5,German,FALSE
wsi-goettingen,HPP,M506,wsi-goettingen:M506,German,ADS,252,1,16,0,1.7197078162781305,7.01725,-0.5,German,FALSE
wsi-goettingen,HPP,M506,wsi-goettingen:M506,German,ADS,259,2,16,0,1.8795221474140358,7.594125,-0.5,German,FALSE
wsi-goettingen,HPP,M506,wsi-goettingen:M506,German,IDS,252,1,16,0,2.5511162852741314,13.436625000000001,0.5,German,FALSE
wsi-goettingen,HPP,M506,wsi-goettingen:M506,German,IDS,259,2,16,0,2.2205907992879292,10.041125,0.5,German,FALSE
wsi-goettingen,HPP,M510,wsi-goettingen:M510,German,ADS,249,1,16,0,1.9425558373920355,7.985875,-0.5,German,FALSE
wsi-goettingen,HPP,M510,wsi-goettingen:M510,German,IDS,249,1,16,0,1.7604085446803475,6.698,0.5,German,FALSE
wsi-goettingen,HPP,M511,wsi-goettingen:M511,German,ADS,204,1,16,0,2.079480640994761,9.069749999999999,-0.5,German,FALSE
wsi-goettingen,HPP,M511,wsi-goettingen:M511,German,ADS,212,2,16,0,1.3020840824694018,3.9285,-0.5,German,FALSE
wsi-goettingen,HPP,M511,wsi-goettingen:M511,German,IDS,204,1,16,0,2.3850936704679198,12.7905,0.5,German,FALSE
wsi-goettingen,HPP,M511,wsi-goettingen:M511,German,IDS,212,2,16,0,2.0323108681789424,9.67775,0.5,German,FALSE
wsi-goettingen,HPP,M514,wsi-goettingen:M514,German,ADS,236,1,16,0,1.8364037478440913,7.413125,-0.5,German,FALSE
wsi-goettingen,HPP,M514,wsi-goettingen:M514,German,ADS,255,2,16,0,1.7477621486375137,6.4796249999999995,-0.5,German,FALSE
wsi-goettingen,HPP,M514,wsi-goettingen:M514,German,IDS,236,1,16,0,2.16468473764063,9.761625,0.5,German,FALSE
wsi-goettingen,HPP,M514,wsi-goettingen:M514,German,IDS,255,2,16,0,1.9272001011147608,7.702875000000001,0.5,German,FALSE
wsi-goettingen,HPP,M515,wsi-goettingen:M515,German,ADS,204,1,16,0,2.612384432945267,13.943375,-0.5,German,FALSE
wsi-goettingen,HPP,M515,wsi-goettingen:M515,German,ADS,219,2,16,0,2.3718009064836068,11.49875,-0.5,German,FALSE
wsi-goettingen,HPP,M515,wsi-goettingen:M515,German,IDS,204,1,16,0,2.4904406501411143,12.924125,0.5,German,FALSE
wsi-goettingen,HPP,M515,wsi-goettingen:M515,German,IDS,219,2,16,0,2.553814441420224,13.651875,0.5,German,FALSE
wsi-goettingen,HPP,M516,wsi-goettingen:M516,German,ADS,228,1,16,0,2.3756909361714227,12.0435,-0.5,German,FALSE
wsi-goettingen,HPP,M516,wsi-goettingen:M516,German,ADS,235,2,16,0,2.4731637233200567,13.181125,-0.5,German,FALSE
wsi-goettingen,HPP,M516,wsi-goettingen:M516,German,IDS,228,1,16,0,2.4171573793911962,12.171375,0.5,German,FALSE
wsi-goettingen,HPP,M516,wsi-goettingen:M516,German,IDS,235,2,16,0,2.227485799184452,10.533999999999999,0.5,German,FALSE
wsi-goettingen,HPP,M517,wsi-goettingen:M517,German,ADS,216,2,16,0,2.2979270748680998,11.870249999999999,-0.5,German,FALSE
wsi-goettingen,HPP,M517,wsi-goettingen:M517,German,IDS,216,2,16,0,2.060391556913169,9.65725,0.5,German,FALSE
wsi-goettingen,HPP,M518,wsi-goettingen:M518,German,ADS,266,1,16,0,2.0391807718213104,8.650625,-0.5,German,FALSE
wsi-goettingen,HPP,M518,wsi-goettingen:M518,German,ADS,272,2,16,0,1.6129529139723182,5.588875,-0.5,German,FALSE
wsi-goettingen,HPP,M518,wsi-goettingen:M518,German,IDS,266,1,16,0,2.183599978989882,10.448,0.5,German,FALSE
