"";"Subject";"Age";"Gender";"Method";"preterm";"Session";"Condition";"trial_num";"LT";"trial_error";"session_error";"Language";"Lab"
"100";"P03";"265";"F";"Eyetracking";"term";"2";"IDS";8;1,36;"noerror";"noerror";"English";"lancslab"
"101";"P03";"265";"F";"Eyetracking";"term";"2";"ADS";9;0,102;"error";"noerror";"English";"lancslab"
"102";"P03";"265";"F";"Eyetracking";"term";"2";"IDS";10;1,666;"error";"noerror";"English";"lancslab"
"103";"P03";"265";"F";"Eyetracking";"term";"2";"IDS";11;3,995;"noerror";"noerror";"English";"lancslab"
"104";"P03";"265";"F";"Eyetracking";"term";"2";"ADS";12;2,72;"error";"noerror";"English";"lancslab"
"105";"P03";"265";"F";"Eyetracking";"term";"2";"IDS";13;1,037;"error";"noerror";"English";"lancslab"
"106";"P03";"265";"F";"Eyetracking";"term";"2";"ADS";14;3,434;"noerror";"noerror";"English";"lancslab"
"107";"P03";"265";"F";"Eyetracking";"term";"2";"IDS";15;7,106;"noerror";"noerror";"English";"lancslab"
"108";"P03";"265";"F";"Eyetracking";"term";"2";"ADS";16;2,89;"error";"noerror";"English";"lancslab"
"109";"P04";"250";"F";"Eyetracking";"term";"1";"training";-2;8,211;"noerror";"noerror";"English";"lancslab"
"110";"P04";"250";"F";"Eyetracking";"term";"1";"training";-1;11,866;"noerror";"noerror";"English";"lancslab"
"111";"P04";"250";"F";"Eyetracking";"term";"1";"ADS";1;15,589;"noerror";"noerror";"English";"lancslab"
"112";"P04";"250";"F";"Eyetracking";"term";"1";"IDS";2;12,359;"noerror";"noerror";"English";"lancslab"
"113";"P04";"250";"F";"Eyetracking";"term";"1";"IDS";3;10,166;"noerror";"noerror";"English";"lancslab"
"114";"P04";"250";"F";"Eyetracking";"term";"1";"ADS";4;10,013;"noerror";"noerror";"English";"lancslab"
"115";"P04";"250";"F";"Eyetracking";"term";"1";"IDS";5;12,733;"noerror";"noerror";"English";"lancslab"
"116";"P04";"250";"F";"Eyetracking";"term";"1";"ADS";6;7,123;"noerror";"noerror";"English";"lancslab"
"117";"P04";"250";"F";"Eyetracking";"term";"1";"IDS";7;14,11;"noerror";"noerror";"English";"lancslab"
"118";"P04";"250";"F";"Eyetracking";"term";"1";"ADS";8;13,464;"noerror";"noerror";"English";"lancslab"
"119";"P04";"250";"F";"Eyetracking";"term";"1";"IDS";9;10,268;"noerror";"noerror";"English";"lancslab"
"120";"P04";"250";"F";"Eyetracking";"term";"1";"ADS";10;8,806;"noerror";"noerror";"English";"lancslab"
"121";"P04";"250";"F";"Eyetracking";"term";"1";"ADS";11;7,327;"noerror";"noerror";"English";"lancslab"
"122";"P04";"250";"F";"Eyetracking";"term";"1";"IDS";12;11,9;"noerror";"noerror";"English";"lancslab"
"123";"P04";"250";"F";"Eyetracking";"term";"1";"ADS";13;13,396;"noerror";"noerror";"English";"lancslab"
"124";"P04";"250";"F";"Eyetracking";"term";"1";"IDS";14;5,678;"noerror";"noerror";"English";"lancslab"
"125";"P04";"250";"F";"Eyetracking";"term";"1";"ADS";15;7,157;"noerror";"noerror";"English";"lancslab"
"126";"P04";"250";"F";"Eyetracking";"term";"1";"IDS";16;12,801;"noerror";"noerror";"English";"lancslab"
"127";"P04";"257";"F";"Eyetracking";"term";"2";"training";-2;12,104;"noerror";"noerror";"English";"lancslab"
"128";"P04";"257";"F";"Eyetracking";"term";"2";"training";-1;10,727;"noerror";"noerror";"English";"lancslab"
"129";"P04";"257";"F";"Eyetracking";"term";"2";"ADS";1;14,45;"noerror";"noerror";"English";"lancslab"
"130";"P04";"257";"F";"Eyetracking";"term";"2";"IDS";2;8,721;"noerror";"noerror";"English";"lancslab"
"131";"P04";"257";"F";"Eyetracking";"term";"2";"IDS";3;9,078;"noerror";"noerror";"English";"lancslab"
"132";"P04";"257";"F";"Eyetracking";"term";"2";"ADS";4;5,117;"noerror";"noerror";"English";"lancslab"
"133";"P04";"257";"F";"Eyetracking";"term";"2";"IDS";5;7,293;"noerror";"noerror";"English";"lancslab"
"134";"P04";"257";"F";"Eyetracking";"term";"2";"ADS";6;3,74;"noerror";"noerror";"English";"lancslab"
"135";"P04";"257";"F";"Eyetracking";"term";"2";"IDS";7;15,657;"noerror";"noerror";"English";"lancslab"
"136";"P04";"257";"F";"Eyetracking";"term";"2";"ADS";8;2,482;"noerror";"noerror";"English";"lancslab"
"137";"P04";"257";"F";"Eyetracking";"term";"2";"IDS";9;9,095;"noerror";"noerror";"English";"lancslab"
"138";"P04";"257";"F";"Eyetracking";"term";"2";"ADS";10;6,63;"noerror";"noerror";"English";"lancslab"
"139";"P04";"257";"F";"Eyetracking";"term";"2";"ADS";11;8,058;"noerror";"noerror";"English";"lancslab"
"140";"P04";"257";"F";"Eyetracking";"term";"2";"IDS";12;0;"noerror";"noerror";"English";"lancslab"
"141";"P04";"257";"F";"Eyetracking";"term";"2";"ADS";13;2,329;"noerror";"noerror";"English";"lancslab"
"142";"P04";"257";"F";"Eyetracking";"term";"2";"IDS";14;1,207;"noerror";"noerror";"English";"lancslab"
"143";"P04";"257";"F";"Eyetracking";"term";"2";"ADS";15;2,465;"noerror";"noerror";"English";"lancslab"
"144";"P04";"257";"F";"Eyetracking";"term";"2";"IDS";16;7,123;"noerror";"noerror";"English";"lancslab"
"145";"P05";"186";"F";"Eyetracking";"preterm";"1";"training";-2;18,122;"noerror";"noerror";"English";"lancslab"
"146";"P05";"186";"F";"Eyetracking";"preterm";"1";"training";-1;15,215;"noerror";"noerror";"English";"lancslab"
"147";"P05";"186";"F";"Eyetracking";"preterm";"1";"IDS";1;18,36;"noerror";"noerror";"English";"lancslab"
"148";"P05";"186";"F";"Eyetracking";"preterm";"1";"ADS";2;14,263;"noerror";"noerror";"English";"lancslab"
"149";"P05";"186";"F";"Eyetracking";"preterm";"1";"IDS";3;13,192;"noerror";"noerror";"English";"lancslab"
"150";"P05";"186";"F";"Eyetracking";"preterm";"1";"ADS";4;10,336;"noerror";"noerror";"English";"lancslab"
"151";"P05";"186";"F";"Eyetracking";"preterm";"1";"ADS";5;13,804;"noerror";"noerror";"English";"lancslab"
"152";"P05";"186";"F";"Eyetracking";"preterm";"1";"IDS";6;7,225;"noerror";"noerror";"English";"lancslab"
"153";"P05";"186";"F";"Eyetracking";"preterm";"1";"IDS";7;13,107;"noerror";"noerror";"English";"lancslab"
"154";"P05";"186";"F";"Eyetracking";"preterm";"1";"ADS";8;6,698;"noerror";"noerror";"English";"lancslab"
"155";"P05";"186";"F";"Eyetracking";"preterm";"1";"ADS";9;10,591;"noerror";"noerror";"English";"lancslab"
"156";"P05";"186";"F";"Eyetracking";"preterm";"1";"IDS";10;12,92;"noerror";"noerror";"English";"lancslab"
"157";"P05";"186";"F";"Eyetracking";"preterm";"1";"ADS";11;1,122;"noerror";"noerror";"English";"lancslab"
"158";"P05";"186";"F";"Eyetracking";"preterm";"1";"IDS";12;4,386;"noerror";"noerror";"English";"lancslab"
"159";"P05";"186";"F";"Eyetracking";"preterm";"1";"IDS";13;5,117;"noerror";"noerror";"English";"lancslab"
"160";"P05";"186";"F";"Eyetracking";"preterm";"1";"ADS";14;6,29;"noerror";"noerror";"English";"lancslab"
"161";"P05";"186";"F";"Eyetracking";"preterm";"1";"ADS";15;4,131;"noerror";"noerror";"English";"lancslab"
"162";"P05";"186";"F";"Eyetracking";"preterm";"1";"IDS";16;7,429;"noerror";"noerror";"English";"lancslab"
"163";"P05";"193";"F";"Eyetracking";"preterm";"2";"training";-2;15,725;"noerror";"noerror";"English";"lancslab"
"164";"P05";"193";"F";"Eyetracking";"preterm";"2";"training";-1;16,813;"noerror";"noerror";"English";"lancslab"
"165";"P05";"193";"F";"Eyetracking";"preterm";"2";"IDS";1;11,39;"noerror";"noerror";"English";"lancslab"
"166";"P05";"193";"F";"Eyetracking";"preterm";"2";"ADS";2;16,932;"noerror";"noerror";"English";"lancslab"
"167";"P05";"193";"F";"Eyetracking";"preterm";"2";"IDS";3;16,082;"noerror";"noerror";"English";"lancslab"
"168";"P05";"193";"F";"Eyetracking";"preterm";"2";"ADS";4;13,158;"noerror";"noerror";"English";"lancslab"
"169";"P05";"193";"F";"Eyetracking";"preterm";"2";"ADS";5;6,579;"noerror";"noerror";"English";"lancslab"
"170";"P05";"193";"F";"Eyetracking";"preterm";"2";"IDS";6;17,578;"noerror";"noerror";"English";"lancslab"
"171";"P05";"193";"F";"Eyetracking";"preterm";"2";"IDS";7;15,742;"noerror";"noerror";"English";"lancslab"
"172";"P05";"193";"F";"Eyetracking";"preterm";"2";"ADS";8;6,885;"noerror";"noerror";"English";"lancslab"
"173";"P05";"193";"F";"Eyetracking";"preterm";"2";"ADS";9;8,704;"noerror";"noerror";"English";"lancslab"
"174";"P05";"193";"F";"Eyetracking";"preterm";"2";"IDS";10;11,934;"noerror";"noerror";"English";"lancslab"
"175";"P05";"193";"F";"Eyetracking";"preterm";"2";"ADS";11;8,908;"noerror";"noerror";"English";"lancslab"
"176";"P05";"193";"F";"Eyetracking";"preterm";"2";"IDS";12;7,565;"noerror";"noerror";"English";"lancslab"
"177";"P05";"193";"F";"Eyetracking";"preterm";"2";"IDS";13;5,882;"noerror";"noerror";"English";"lancslab"
"178";"P05";"193";"F";"Eyetracking";"preterm";"2";"ADS";14;5,185;"noerror";"noerror";"English";"lancslab"
"179";"P05";"193";"F";"Eyetracking";"preterm";"2";"ADS";15;11,356;"noerror";"noerror";"English";"lancslab"
"180";"P05";"193";"F";"Eyetracking";"preterm";"2";"IDS";16;5,372;"noerror";"noerror";"English";"lancslab"
"181";"P06";"257";"M";"Eyetracking";"preterm";"1";"training";-2;17,867;"noerror";"noerror";"English";"lancslab"
"182";"P06";"257";"M";"Eyetracking";"preterm";"1";"training";-1;13,413;"noerror";"noerror";"English";"lancslab"
"183";"P06";"257";"M";"Eyetracking";"preterm";"1";"ADS";1;14,399;"noerror";"noerror";"English";"lancslab"
"184";"P06";"257";"M";"Eyetracking";"preterm";"1";"IDS";2;13,685;"noerror";"noerror";"English";"lancslab"
"185";"P06";"257";"M";"Eyetracking";"preterm";"1";"ADS";3;12,155;"noerror";"noerror";"English";"lancslab"
"186";"P06";"257";"M";"Eyetracking";"preterm";"1";"IDS";4;16,575;"noerror";"noerror";"English";"lancslab"
"187";"P06";"257";"M";"Eyetracking";"preterm";"1";"IDS";5;18,343;"noerror";"noerror";"English";"lancslab"
"188";"P06";"257";"M";"Eyetracking";"preterm";"1";"ADS";6;11,594;"noerror";"noerror";"English";"lancslab"
"189";"P06";"257";"M";"Eyetracking";"preterm";"1";"ADS";7;5,202;"noerror";"noerror";"English";"lancslab"
"190";"P06";"257";"M";"Eyetracking";"preterm";"1";"IDS";8;8,398;"noerror";"noerror";"English";"lancslab"
"191";"P06";"257";"M";"Eyetracking";"preterm";"1";"IDS";9;12,376;"noerror";"noerror";"English";"lancslab"
"192";"P06";"257";"M";"Eyetracking";"preterm";"1";"ADS";10;7,429;"noerror";"noerror";"English";"lancslab"
"193";"P06";"257";"M";"Eyetracking";"preterm";"1";"IDS";11;13,855;"noerror";"noerror";"English";"lancslab"
"194";"P06";"257";"M";"Eyetracking";"preterm";"1";"ADS";12;4,845;"noerror";"noerror";"English";"lancslab"
"195";"P06";"257";"M";"Eyetracking";"preterm";"1";"ADS";13;1,564;"noerror";"noerror";"English";"lancslab"
"196";"P06";"257";"M";"Eyetracking";"preterm";"1";"IDS";14;10,03;"noerror";"noerror";"English";"lancslab"
"197";"P06";"257";"M";"Eyetracking";"preterm";"1";"IDS";15;11,016;"noerror";"noerror";"English";"lancslab"
