lab,subid,test,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
babylab-potsdam,b7059,2,ADS,ADS3,6,0.873,0.873,noerror,NA,NA
babylab-potsdam,b7059,2,ADS,ADS4,7,0.896,0.896,noerror,NA,NA
babylab-potsdam,b7059,2,IDS,IDS4,8,2.403,3.699,noerror,NA,NA
babylab-potsdam,b7059,2,IDS,IDS5,9,1.457,1.457,noerror,NA,NA
babylab-potsdam,b7059,2,ADS,ADS5,10,0.944,0.944,noerror,NA,child is babbling loudly
babylab-potsdam,b7059,2,IDS,IDS6,11,0.658,0.658,noerror,NA,NA
babylab-potsdam,b7059,2,ADS,ADS6,12,0.763,0.763,noerror,NA,NA
babylab-potsdam,b7059,2,ADS,ADS7,13,2.318,2.787,noerror,NA,child is babbling loudly
babylab-potsdam,b7059,2,IDS,IDS7,14,1.265,1.265,noerror,NA,child is babbling loudly
babylab-potsdam,b7059,2,IDS,IDS8,15,0.999,0.999,noerror,NA,child is babbling loudly
babylab-potsdam,b7059,2,ADS,ADS8,16,2.914,2.914,noerror,NA,child is babbling loudly
babylab-potsdam,b7096,1,training,train1,-2,14.528,18,noerror,NA,NA
babylab-potsdam,b7096,1,training,train2,-1,5.764,7.376,noerror,NA,NA
babylab-potsdam,b7096,1,IDS,IDS1,1,13.03,18.001,noerror,NA,offline correction - experimenter error - subtraction of 567 ms based on logsheet and video- child was looking away
babylab-potsdam,b7096,1,ADS,ADS1,2,3.389,4.246,noerror,NA,NA
babylab-potsdam,b7096,1,IDS,IDS2,3,7.065,8.023,noerror,NA,NA
babylab-potsdam,b7096,1,ADS,ADS2,4,3.443,3.443,noerror,NA,NA
babylab-potsdam,b7096,1,ADS,ADS3,5,4.193,5.061,noerror,NA,offline correction - experimenter error - subtraction of 267 ms based on logsheet and video- child was looking away
babylab-potsdam,b7096,1,IDS,IDS3,6,14.006,16.96,noerror,NA,NA
babylab-potsdam,b7096,1,IDS,IDS4,7,3.909,3.909,noerror,NA,NA
babylab-potsdam,b7096,1,ADS,ADS4,8,1.987,1.987,noerror,NA,NA
babylab-potsdam,b7096,1,ADS,ADS5,9,8.453,13.009,noerror,NA,offline correction - experimenter error - subtraction of 934 ms based on logsheet and video- child was looking away
babylab-potsdam,b7096,1,IDS,IDS5,10,3.75,4.618,noerror,NA,offline correction - experimenter error - subtraction of 868 ms based on logsheet and video- child was not looking at the beginning of the trial
babylab-potsdam,b7096,1,ADS,ADS6,11,2.932,6.952,noerror,NA,offline correction - experimenter error - addition of 100 ms based on logsheet and video- child was actually looking and subtraction of 1101 ms because she was not looking anymore
babylab-potsdam,b7096,1,IDS,IDS6,12,4.258,4.258,noerror,NA,NA
babylab-potsdam,b7096,1,IDS,IDS7,13,2.417,3.786,noerror,NA,NA
babylab-potsdam,b7096,1,ADS,ADS7,14,7.468,7.468,noerror,NA,NA
babylab-potsdam,b7096,1,ADS,ADS8,15,5.015,5.015,noerror,NA,NA
